SampleID,Location,Site,Status,Position,Replicate,SoilType,USS.depth.cm,d15N,d13C_not_acidified,wt %TN,wt %TC,"acidified d13C (permil, vs VPDB)",acidified wt %N,acidified wt %C
LS-N-H-HF-3-O,LS,North,Un-grazed,3,3,No Horizon,0,3.61,-17.53,0.39,6.18,-17.69,0.39,6.08
LS-N-H-HP-1-A-P,LS,North,Un-grazed,7,1,Lower Horizon,NA,3.076397321,-18.76601262,0.4,5.9,-18.65505833,0.36,5.91
LS-N-H-HP-1-B-M,LS,North,Un-grazed,7,1,Upper Horizon,0.6,3.647018459,-19.28145438,0.44,5.84,-19.63296248,0.39,5.72
LS-N-H-HP-2-A-P,LS,North,Un-grazed,7,2,Lower Horizon,NA,2.512870939,-17.61235655,0.43,8.16,-17.66907232,0.42,7.84
LS-N-H-HP-2-B-M,LS,North,Un-grazed,7,2,Upper Horizon,0.8,4.082839222,-19.61223,0.42,5.55,-19.76631305,0.39,5.17
LS-N-H-HP-3-A-M,LS,North,Un-grazed,7,3,Upper Horizon,1.5,3.992634459,-20.1307157,0.43,5.98,-19.96835936,0.36,5.39
LS-N-H-HP-3-B-P,LS,North,Un-grazed,7,3,Lower Horizon,NA,2.646657778,-17.99792322,0.39,6.51,-18.17620856,0.33,6.21
LS-N-H-LP-1-M,LS,North,Un-grazed,6,1,Upper Horizon,0.4,3.33,-18.17,0.37,5.92,-19.32,0.45,5.57
LS-N-H-LP-1-P,LS,North,Un-grazed,6,1,Lower Horizon,NA,3.85,-19.35,0.41,5.55,-17.92,0.41,6.66
LS-N-H-LP-3-A-P,LS,North,Un-grazed,6,3,Lower Horizon,NA,2.801728887,-17.62047375,0.41,7,-17.72362482,0.35,6.76
LS-N-H-LP-3-B-M,LS,North,Un-grazed,6,3,Upper Horizon,1,4.219666671,-19.39408043,0.4,4.97,-19.24806425,0.35,4.68
LS-N-H-MC-1-O,LS,North,Un-grazed,1,1,No Horizon,0,4.907942136,-19.51277644,0.42,4.4,-20.13,0.4,4.15
LS-N-H-MC-2-O,LS,North,Un-grazed,1,2,No Horizon,0,4.718611335,-19.64,0.41,4.39,-20.34362306,0.4,4.19
LS-N-H-MC-3-O,LS,North,Un-grazed,1,3,No Horizon,0,4.704457926,-19.92,0.41,4.41,-20.57424728,0.4,4.26
LS-N-H-MF-1-O,LS,North,Un-grazed,2,1,No Horizon,0,4.788367423,-19.47,0.43,4.94,-19.47802026,0.41,4.81
LS-N-H-MF-2-O,LS,North,Un-grazed,2,2,No Horizon,0,4.26,-18.81,0.42,5.58,-18.92,0.43,5.42
LS-N-H-MF-3-M,LS,North,Un-grazed,2,3,Upper Horizon,NA,4.984670141,-19.83525351,0.43,4.69,-20.04,0.36,3.65
LS-N-H-MUD-1-M,LS,North,Un-grazed,4,1,Upper Horizon,1.1,4.48,-19.19,0.44,5.35,-19.42,0.43,5.18
LS-N-H-MUD-1-P,LS,North,Un-grazed,4,1,Lower Horizon,NA,3.505673292,-17.71726839,0.41,6.95,-17.95,0.41,6.93
LS-N-H-MUD-2-M,LS,North,Un-grazed,4,2,Upper Horizon,2.4,NA,NA,NA,NA,NA,NA,NA
LS-N-H-MUD-3-A-M,LS,North,Un-grazed,4,3,Upper Horizon,2.2,4.045338365,-19.37378745,0.4,5.1,-19.47233566,0.36,4.84
LS-N-H-MUD-3-B-P,LS,North,Un-grazed,4,3,Lower Horizon,NA,3.211197696,-17.52306743,0.38,6.69,-17.6013868,0.36,6.9
LS-S-G-CH-1-O,LS,Airport,Grazed,5,1,No Horizon,0,2.2,-16.44,0.43,7.64,-16.59572549,0.42,7.8
LS-S-G-CH-2-O,LS,Airport,Grazed,5,2,No Horizon,0,2.07,-16.55,0.46,8.38,-16.64347588,0.42,8.04
LS-S-G-CH-3-O,LS,Airport,Grazed,5,3,No Horizon,0,2.567609241,-16.38853316,0.47,8.43,-16.32344387,0.47,8.42
LS-S-G-HF-1-O,LS,Airport,Grazed,3,1,No Horizon,0,3.812793149,-17.97,0.4,5.37,-18.17,0.41,5.3
LS-S-G-HF-2-O,LS,Airport,Grazed,3,2,No Horizon,0,3.994633948,-17.33100747,0.43,6.09,-17.74,0.4,6.04
LS-S-G-HF-3-O,LS,Airport,Grazed,3,3,No Horizon,0,3.661149479,-17.31,0.42,6.28,-17.69,0.42,5.66
LS-S-G-HP-1-M,LS,Airport,Grazed,7,1,Upper Horizon,3.5,4.43,-19.71,0.37,4.23,-19.90472587,0.33,4.14
LS-S-G-HP-1-P,LS,Airport,Grazed,7,1,Lower Horizon,NA,2.35,-17.08,0.42,7.15,-17.29,0.38,7.19
LS-S-G-HP-2-A-P,LS,Airport,Grazed,7,2,Lower Horizon,NA,2.77030925,-16.78643216,0.46,9.21,-16.83,0.46,8.5
LS-S-G-HP-2-B-M,LS,Airport,Grazed,7,2,Upper Horizon,3.4,4.119326541,-20.00286991,0.36,4.25,-20.25,0.38,4.1
LS-S-G-HP-3-A-P,LS,Airport,Grazed,7,3,Lower Horizon,NA,3.234509039,-18.04967033,0.41,6.47,-17.73170668,0.35,6.46
LS-S-G-HP-3-B-M,LS,Airport,Grazed,7,3,Upper Horizon,2.3,4.098042272,-18.99836727,0.39,4.72,-19.55214396,0.34,4.45
LS-S-G-LP-1-M,LS,Airport,Grazed,6,1,Upper Horizon,1.4,4.47,-19.51,0.38,4.38,-19.61679878,0.37,4.26
LS-S-G-LP-1-P,LS,Airport,Grazed,6,1,Lower Horizon,NA,2.59,-16.96,0.47,8.1,-17.41,0.4,7.15
LS-S-G-LP-2-A-M,LS,Airport,Grazed,6,2,Upper Horizon,1,4.126368549,-19.4640287,0.38,4.46,-19.5,0.39,4.51
LS-S-G-LP-2-B-P,LS,Airport,Grazed,6,2,Lower Horizon,NA,3.221453175,-18.2134271,0.4,5.95,-18.3,0.42,6.31
LS-S-G-LP-3-A-M,LS,Airport,Grazed,6,3,Upper Horizon,1.2,4.507511081,-19.70659237,0.37,4.33,-19.99260492,0.32,4.06
LS-S-G-LP-3-B-P,LS,Airport,Grazed,6,3,Lower Horizon,NA,2.217931772,-16.25475601,0.43,8.82,-16.71339326,0.38,8.44
LS-S-G-MC-1-O,LS,Airport,Grazed,1,1,No Horizon,0,5,-19.64,0.42,4.52,-20.08604576,0.42,4.27
LS-S-G-MC-2-O,LS,Airport,Grazed,1,2,No Horizon,0,5.11,-20.17,0.41,4.23,-20.56891076,0.42,4.04
LS-S-G-MC-3-O,LS,Airport,Grazed,1,3,No Horizon,0,4.86,-19.77,0.41,4.37,-20.42344516,0.43,4.2
LS-S-G-MF-1-O,LS,Airport,Grazed,2,1,No Horizon,0,5.14,-18.31,0.42,4.43,-20.24565386,0.41,4.27
LS-S-G-MF-2-O,LS,Airport,Grazed,2,2,No Horizon,0,5.01,-20.07,0.42,4.25,-20.43657747,0.4,4.1
LS-S-G-MF-3-O,LS,Airport,Grazed,2,3,No Horizon,0,4.9,-20.04,0.42,4.35,-20.26686759,0.4,4.31
LS-S-G-MUD-1-O,LS,Airport,Grazed,4,1,No Horizon,0,3.2,-16.55,0.51,9.06,-16.84550098,0.52,8.9
LS-S-G-MUD-2-O,LS,Airport,Grazed,4,2,No Horizon,0,3.399801558,-16.60884337,0.41,6.38,-17.12,0.36,5.46
LS-S-G-MUD-3-O,LS,Airport,Grazed,4,3,No Horizon,0,3.94,-17.12,0.43,6.55,-17.25449346,0.41,6.41
LS-S-H-CH-1-M,LS,Airport,Un-grazed,5,1,Upper Horizon,1.8,4.362477488,-19.19118861,0.4,4.67,-19.83,0.37,4.56
LS-S-H-CH-1-P,LS,Airport,Un-grazed,5,1,Lower Horizon,NA,3.571056539,-17.8046741,0.43,6.79,-17.87,0.35,6.06
LS-S-H-CH-2-M,LS,Airport,Un-grazed,5,2,Upper Horizon,2.6,4.446584964,-19.73991162,0.38,4.34,-20.05,0.36,4.43
LS-S-H-CH-2-P,LS,Airport,Un-grazed,5,2,Lower Horizon,NA,3.536602875,-16.93138295,0.47,8.36,-17.26,0.46,8.71
LS-S-H-CH-3-M,LS,Airport,Un-grazed,5,3,Upper Horizon,2.7,4.428344788,-19.55632777,0.4,4.57,-19.76,0.38,4.55
LS-S-H-CH-3-P,LS,Airport,Un-grazed,5,3,Lower Horizon,NA,3.928562707,-17.49699677,0.45,7.25,-17.76,0.43,7.28
LS-S-H-HF-1-M,LS,Airport,Un-grazed,3,1,Upper Horizon,2.4,5.103786256,-19.79,0.4,4.25,-20.27501022,0.41,4.35
LS-S-H-HF-1-P,LS,Airport,Un-grazed,3,1,Lower Horizon,NA,4.343339136,-16.97220218,0.49,8.61,-16.88,0.48,8.97
LS-S-H-HF-2-A-P,LS,Airport,Un-grazed,3,2,Lower Horizon,NA,4.282505943,-18.22723393,0.38,5.96,-18.07,0.44,6.18
LS-S-H-HF-2-B-M,LS,Airport,Un-grazed,3,2,Upper Horizon,3.5,4.543998401,-19.64774272,0.37,4.41,-20.14,0.39,4.29
LS-S-H-HF-3-O,LS,Airport,Un-grazed,3,3,No Horizon,0,4.949278161,-19.81541428,0.4,4.43,-19.86,0.38,4.31
LS-S-H-HP-1-A-P,LS,Airport,Un-grazed,7,1,Lower Horizon,NA,3.5375565,-17.97864489,0.39,6.35,-18.28026242,0.35,5.98
LS-S-H-HP-1-B-M,LS,Airport,Un-grazed,7,1,Upper Horizon,2.7,4.520687058,-19.3687142,0.37,4.65,-19.51072446,0.35,4.58
LS-S-H-HP-2-M,LS,Airport,Un-grazed,7,2,Upper Horizon,2.1,4.536022562,-19.1982651,0.4,4.87,-19.39,0.37,4.7
LS-S-H-HP-2-P,LS,Airport,Un-grazed,7,2,Lower Horizon,NA,3.644608184,-17.91622339,0.41,6.32,-18.22,0.37,5.98
LS-S-H-HP-3-M,LS,Airport,Un-grazed,7,3,Upper Horizon,2.8,4.36,-19.72,0.38,4.38,-19.71,0.36,4.4
LS-S-H-HP-3-P,LS,Airport,Un-grazed,7,3,Lower Horizon,NA,3.555951664,-18.75110404,0.35,5.1,-18.89504611,0.36,5.09
LS-S-H-LP-1-M,LS,Airport,Un-grazed,6,1,Upper Horizon,2.4,4.625603218,-19.5,0.39,4.76,-19.54424004,0.39,4.65
LS-S-H-LP-1-P,LS,Airport,Un-grazed,6,1,Lower Horizon,NA,3.714582691,-18.92,0.37,4.77,-18.31,0.36,5.8
LS-S-H-LP-2-A-M,LS,Airport,Un-grazed,6,2,Upper Horizon,2.9,4.258181064,-19.53105807,0.38,4.64,-19.43293663,0.32,4.49
LS-S-H-LP-2-B-P,LS,Airport,Un-grazed,6,2,Lower Horizon,NA,3.492960887,-18.23433647,0.4,6.08,-19.48849937,0.3,4.41
LS-S-H-LP-3-M,LS,Airport,Un-grazed,6,3,Upper Horizon,2.5,4.35,-19.76,0.39,4.49,-19.76833351,0.36,4.33
LS-S-H-LP-3-P,LS,Airport,Un-grazed,6,3,Lower Horizon,NA,3.29,-18.04,0.4,6.41,-18.37379435,0.36,5.6
LS-S-H-MC-1-O,LS,Airport,Un-grazed,1,1,No Horizon,0,5.11,-19.42,0.44,5.02,-19.79410437,0.42,4.66
LS-S-H-MC-2-O,LS,Airport,Un-grazed,1,2,No Horizon,0,4.63,-19.31,0.42,4.82,-18.91064691,0.43,5.15
LS-S-H-MC-3-O,LS,Airport,Un-grazed,1,3,No Horizon,0,4.55,-18.47,0.39,5.24,-18.50695236,0.42,5.53
LS-S-H-MF-1-O,LS,Airport,Un-grazed,2,1,No Horizon,0,4.95,-20.04,0.42,4.39,-20.2799999,0.41,4.22
LS-S-H-MF-2-O,LS,Airport,Un-grazed,2,2,No Horizon,0,5.03,-19.89,0.42,4.48,-19.47488818,0.41,4.48
LS-S-H-MF-3-A-P,LS,Airport,Un-grazed,2,3,Lower Horizon,NA,4.211503107,-18.15476639,0.39,5.67,-18.26,0.39,5.77
LS-S-H-MF-3-B-M,LS,Airport,Un-grazed,2,3,Upper Horizon,3.4,4.792595757,-18.96276734,0.43,5.08,-19.68,0.42,4.87
LS-S-H-MUD-1-M,LS,Airport,Un-grazed,4,1,Upper Horizon,1.2,4.442619857,-19.64,0.4,4.6,-19.67212482,0.38,4.61
LS-S-H-MUD-1-P,LS,Airport,Un-grazed,4,1,Lower Horizon,NA,3.887604026,-17.27882674,0.47,8.6,-17.30524139,0.44,7.95
LS-S-H-MUD-2-M,LS,Airport,Un-grazed,4,2,Upper Horizon,2.3,4.754059071,-19.68245662,0.4,4.54,-19.74,0.39,4.59
LS-S-H-MUD-2-P,LS,Airport,Un-grazed,4,2,Lower Horizon,NA,NA,NA,NA,NA,-17.37,0.44,8.3
LS-S-H-MUD-3-M,LS,Airport,Un-grazed,4,3,Upper Horizon,2.4,4.36,-19.74,0.39,4.44,-20.02594256,0.38,4.4
LS-S-H-MUD-3-P,LS,Airport,Un-grazed,4,3,Lower Horizon,NA,3.95,-17.48,0.44,7.12,-17.45,0.42,7.45
Fore-gut-MF,MF,Gut,Gut,Fore-gut,Gut,Gut,NA,6,-15.91,5.41,37.65,-15.17,5.36,37.35
Fore-gut-MF,MF,Gut,Gut,Fore-gut,Gut,Gut,NA,6.09,-15.83,5.09,37.64,-15.21,5.98,37.41
Hind-gut-MF,MF,Gut,Gut,Hind-gut,Gut,Gut,NA,5.75,-15.15,1.04,20.77,-14.84,1.36,22.15
Hind-gut-MF,MF,Gut,Gut,Hind-gut,Gut,Gut,NA,5.76,-15.41,1.09,19.4,-15.01,1.27,21.51
Fore-gut-MG,MG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.27,-15.8,5.05,38.37,-15.18,5.54,37
Fore-gut-MG,MG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.39,-15.77,5.39,38.3,-15.29,5.62,36.34
Hind-gut-MG,MG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.49,-15.45,1.1,18.8,-15.18,1.46,18.81
Hind-gut-MG,MG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.23,-15.56,1.02,18.49,-15.09,1.27,19.83
Fore-gut-MM,MM,Gut,Gut,Fore-gut,Gut,Gut,NA,6.17,-15.6,4.01,37.02,-15.28,4.04,35.58
Fore-gut-MM,MM,Gut,Gut,Fore-gut,Gut,Gut,NA,6.15,-15.7,4.73,38.13,-15.54,4.68,35.25
Hind-gut-MM,MM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.12,-15.82,0.99,22.83,-14.99,1.45,22.35
Hind-gut-MM,MM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.55,-15.14,0.99,22.93,-15,2.34,21.44
0 m Gills A,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.64,,9.54,38.14,-18.66277374,,34.68
0 m Gills B,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.55,,10.27,39.9,-18.55937381,,36.49
0 m Gills C,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.73,,9.45,38.23,-18.51180984,,34.89
0 m v mass A,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.45,,8.87,43.07,-20.10520283,,40.06
0 m v mass B,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.52,,8.75,42.43,-20.08142085,,40.64
0 m v mass C,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.45,,9.18,44.97,-19.96768092,,35.93
10 m Gills A,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.46,,9.33,35.78,-18.12716208,,34.04
10 m Gills B,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.4,,9.26,35.49,-18.46941586,,30.27
10 m Gills C,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.43,,9.14,35.09,-18.47768786,,34.18
10 m v mass A,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.66,,8.85,42.75,-19.85290699,,39.42
10 m v mass B,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.65,,8.63,41.72,-19.91391295,,38.64
10 m v mass C,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.63,,9.28,44.43,-19.41035527,,39.5
20 m Gills A,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.71,,9.98,37.71,-18.22332402,,35.04
20 m Gills B,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.69,,9.41,35.71,-18.27709199,,36.02
20 m Gills C,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.65,,9.82,37.2,-18.37325392,,35.11
20 m v mass A,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.69,,8.53,40.03,-19.79810503,,39.39
20 m v mass B,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.61,,8.84,41.65,-19.72882707,,37.68
20m v mass C,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.61,,8.77,41.08,-19.6791951,,38.36
Ridge Gills A,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.46,,9.65,37.53,-18.40220591,,35.18
Ridge Gills B,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.4,,9.75,37.97,-18.49009585,,35.31
Ridge Gills C,Mussel,Gills,Gills,Gills,Gills,Gills,NA,8.39,,9.68,37.49,-18.49940184,,35.01
Ridge v mass A,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.94,,8.88,40.41,-19.37209729,,37.9
Ridge v mass B,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,6.94,,9.29,42.14,-18.8809476,,36.87
Ridge v mass C,Mussel,Visceral mass,Visceral mass,Visceral mass,Visceral mass,Visceral mass,NA,7.04,,8.9,40.25,-19.43620525,,37.54
Prince 10,Sesarma,Whole crab,non-acid rinsed,Whole crab,Whole crab,Whole crab,NA,-4.69,,6.69,36.44,-26.11,,
Prince 11,Sesarma,Whole crab,acid rinsed,Whole crab,Whole crab,Whole crab,NA,-4.63,,9.07,49.14,-26.35,,
Prince 26,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.73,,11.73,39.76,-13.64,,
Prince 35,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,7.44,,11.65,38.58,-13.49,,
Prince 38,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,5.65,,12.36,40.64,-14.41,,
Prince 41,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.88,,10.84,38.95,-14.5,,
Prince 60,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.850995149,,10.72,40.46,-14.58119432,,
Prince 65,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,5.400014746,,10.57,38.16,-14.82102262,,
Prince 69,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.883239158,,11.7,39.63,-14.44502062,,
Prince 72,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.070085557,,9.66,34.4,-14.4582315,,
Prince 75,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,7.231877505,,10.88,37.38,-14.59237276,,
Prince 85,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,7.713805613,,10.22,35.29,-14.21996531,,
Fore-gut-SF,SF,Gut,Gut,Fore-gut,Gut,Gut,NA,5.99,-16.1,5.06,34.13,-15.99,6.67,34.82
Fore-gut-SF,SF,Gut,Gut,Fore-gut,Gut,Gut,NA,5.91,-16.65,6.11,36.59,NA,NA,NA
Hind-gut-SF,SF,Gut,Gut,Hind-gut,Gut,Gut,NA,5.16,-15.1,0.92,20.1,-15.05,1.05,18.93
Fore-gut-SG,SG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.07,-16.13,5.94,37.62,NA,NA,NA
Fore-gut-SG,SG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.19,-16.09,5.76,37.38,-15.47,6.9,35.89
Hind-gut-SG,SG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.22,-15.57,1.12,17.88,-15.36,1.42,17.66
Fore-gut-SM,SM,Gut,Gut,Fore-gut,Gut,Gut,NA,5.85,-16.2,6.35,37.41,-15.63,6.65,34.4
Fore-gut-SM,SM,Gut,Gut,Fore-gut,Gut,Gut,NA,5.83,-16.14,5.56,37.82,NA,NA,NA
Hind-gut-SM,SM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.35,-15.57,0.96,17.37,-15.46,1.07,16.46
0m off DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.09456462,,39.28
0m off DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.03872866,,39.22
0m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.8122828,,37.83
0m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.75644684,,38.14
10 m off Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.92,,1.65,42.18,-14.07388464,,34.86
10 m off Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.81,,1.57,43.1,-13.9766887,,36.27
10 m off Spartina C,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.71,,1.61,41.35,-14.48748438,,41.19
10m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.05849728,,41.11
10m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.04919128,,40.93
20m off DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.07698664,,39.02
20m off DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.14419659,,39.4
20m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.55481697,,39.76
20m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.62512892,,39.57
Ridge DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.26322915,,39.77
